"exptid","accession","institution","facility","flat","row","column","fruitnum","aborted.fruits","inflorescence.height","diameter.at.bolt","treatment","parent_id"
"1a1","SALK_067430C","CofC","COFC-GC1",4,"I",1,25,7,19.9,38.5,"standard GC","CofC_S11Farm_0794"
"1a1","SALK_067430C","CofC","COFC-GC2",9,"J",6,28,6,23.4,NA,"standard GC","CofC_S11Farm_0794"
"1a1","SALK_067608C","BC","BC-GC1",5,"H",4,79,5,29.6,49.69,"standard GC","CofC_SF01_0153"
"1a1","SALK_067608C","CofC","COFC-GC1",5,"G",2,15,8,14.8,19.8,"standard GC","CofC_SF01_0153"
"1a1","SALK_067608C","CofC","COFC-GC2",7,"J",6,22,10,18.8,28.1,"standard GC","CofC_SF01_0153"
"1a1","SALK_067699C","BC","BC-GC1",5,"H",1,78,9,23.3,42.91,"standard GC","CofC_S11Farm_0801"
"1a1","SALK_067699C","CofC","COFC-GC1",4,"K",6,19,13,19.3,30.4,"standard GC","CofC_S11Farm_0801"
"1a1","SALK_067699C","CofC","COFC-GC2",7,"I",3,11,6,14.4,29,"standard GC","CofC_S11Farm_0801"
"1a1","SALK_068499C","BC","BC-GC1",1,"K",3,66,0,26,61.52,"standard GC","CofC_S11Farm_0814"
"1a1","SALK_068499C","CofC","COFC-GC1",1,"B",5,10,4,13.2,22.8,"standard GC","CofC_S11Farm_0814"
"1a1","SALK_068499C","CofC","COFC-GC2",8,"I",4,15,6,19.8,34.4,"standard GC","CofC_S11Farm_0814"
"1a1","SALK_070180C","BC","BC-GC1",2,"B",3,32,14,20.7,33.94,"standard GC","CofC_S11Farm_0830"
"1a1","SALK_070180C","CofC","COFC-GC1",2,"B",5,16,2,19.1,36.7,"standard GC","CofC_S11Farm_0830"
"1a1","SALK_070180C","CofC","COFC-GC2",10,"I",1,22,11,23.5,34.9,"standard GC","CofC_S11Farm_0830"
"1a1","SALK_073617C","BC","BC-GC1",2,"E",1,59,4,26.7,40.39,"standard GC","BC_S11Farm_0280"
"1a1","SALK_073617C","CofC","COFC-GC1",5,"L",3,6,4,10.7,14.7,"standard GC","BC_S11Farm_0280"
"1a1","SALK_073617C","CofC","COFC-GC2",8,"K",3,17,7,21.2,36.9,"standard GC","BC_S11Farm_0280"
"1a1","SALK_073669C","BC","BC-GC1",6,"L",5,51,2,25.5,44.64,"standard GC","BC_S11Farm_0281"
"1a1","SALK_073669C","CofC","COFC-GC1",1,"A",3,14,3,16,23.3,"standard GC","BC_S11Farm_0281"
"1a1","SALK_073669C","CofC","COFC-GC2",12,"D",3,18,2,16.1,27.7,"standard GC","BC_S11Farm_0281"
"1a1","SALK_073728C","BC","BC-GC1",6,"C",5,94,21,25.9,47.38,"standard GC","BC_S11Farm_0283"
"1a1","SALK_073728C","CofC","COFC-GC1",6,"K",4,10,2,14.1,21.4,"standard GC","BC_S11Farm_0283"
"1a1","SALK_073728C","CofC","COFC-GC2",7,"K",6,9,5,13.7,26.8,"standard GC","BC_S11Farm_0283"
"1a1","SALK_073770C","BC","BC-GC1",5,"J",4,88,18,30.1,60.94,"standard GC","BC_S11Farm_0285"
"1a1","SALK_073770C","CofC","COFC-GC1",5,"B",6,17,6,16.4,20.7,"standard GC","BC_S11Farm_0285"
"1a1","SALK_073770C","CofC","COFC-GC2",10,"L",5,18,5,19,37.2,"standard GC","BC_S11Farm_0285"
"1a1","SALK_073856C","BC","BC-GC1",6,"D",4,85,49,30.5,54.23,"standard GC","BC_S11Farm_0287"
"1a1","SALK_073856C","CofC","COFC-GC1",6,"C",1,12,1,14.8,18.7,"standard GC","BC_S11Farm_0287"
"1a1","SALK_073856C","CofC","COFC-GC2",8,"B",5,14,2,19,27.1,"standard GC","BC_S11Farm_0287"
"1a1","SALK_073973C","BC","BC-GC1",6,"J",5,NA,NA,NA,46.11,"standard GC","BC_S11Farm_0289"
"1a1","SALK_073973C","CofC","COFC-GC1",6,"G",5,17,3,17.5,33.2,"standard GC","BC_S11Farm_0289"
"1a1","SALK_073973C","CofC","COFC-GC2",8,"E",3,24,5,20.3,36.7,"standard GC","BC_S11Farm_0289"
"1a1","SALK_074218C","BC","BC-GC1",3,"H",3,105,7,30.2,52.15,"standard GC","BC_S11Farm_0290"
"1a1","SALK_074218C","CofC","COFC-GC1",5,"A",1,10,5,16.1,18,"standard GC","BC_S11Farm_0290"
"1a1","SALK_074218C","CofC","COFC-GC2",12,"L",6,24,10,20.5,32.3,"standard GC","BC_S11Farm_0290"
"1a1","SALK_074221C","BC","BC-GC1",4,"H",5,54,10,31.5,55.86,"standard GC","BC_S11Farm_0291"
"1a1","SALK_074221C","CofC","COFC-GC1",1,"C",2,13,4,16.3,23.5,"standard GC","BC_S11Farm_0291"
"1a1","SALK_074221C","CofC","COFC-GC2",8,"L",6,19,7,22.7,37.5,"standard GC","BC_S11Farm_0291"
"1a1","SALK_074302C","BC","BC-GC1",3,"C",2,82,11,26.8,51.34,"standard GC","BC_S11Farm_0295"
